sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod12-complz4-trial1,1,7339.344615,7339.344615,7339.344615,7.1499999999999995,7.1499999999999995,7.1499999999999995,292.2804598,292.2804598,292.2804598,10275,10275.0,10275.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod12-complz4-trial2,1,7288.716893,7288.716893,7288.716893,7.109999999999999,7.109999999999999,7.109999999999999,313.2586016,313.2586016,313.2586016,11400,11400.0,11400.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod12-complz4-trial3,1,6662.16399,6662.16399,6662.16399,6.53,6.53,6.53,286.30158539999996,286.30158539999996,286.30158539999996,11724,11724.0,11724.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod12-compnone-trial1,1,7954.414391,7954.414391,7954.414391,7.77,7.77,7.77,278.1516016,278.1516016,278.1516016,11349,11349.0,11349.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod12-compnone-trial2,1,7638.165094,7638.165094,7638.165094,7.46,7.46,7.46,346.5542465,346.5542465,346.5542465,10884,10884.0,10884.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod12-compnone-trial3,1,7903.659041,7903.659041,7903.659041,7.73,7.73,7.73,285.5309832,285.5309832,285.5309832,10916,10916.0,10916.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod6-complz4-trial1,1,9805.313329,9805.313329,9805.313329,9.57,9.57,9.57,122.80022880000001,122.80022880000001,122.80022880000001,6076,6076.0,6076.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod6-complz4-trial2,1,9809.217416,9809.217416,9809.217416,9.59,9.59,9.59,149.4835739,149.4835739,149.4835739,5439,5439.0,5439.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod6-complz4-trial3,1,9812.953102,9812.953102,9812.953102,9.58,9.58,9.58,106.82983889999998,106.82983889999998,106.82983889999998,5228,5228.0,5228.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acksall-prod6-compnone-trial1,1,9787.930809,9787.930809,9787.930809,9.56,9.56,9.56,137.2437189,137.2437189,137.2437189,4850,4850.0,4850.0
