min_insync_replicas,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
4,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,22694312.222222224,25983739.0,15233550.87585946,665021.0,5101193.5,38119712.0,43048525.0
4,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,18236546.011574075,20324102.0,12566225.440670611,362674.0,3407283.25,31543274.5,33121113.0
4,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,22230746.821759257,23986694.0,15298092.526511906,633913.0,4955458.75,37993757.75,45218446.0
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1296,3870907817.253858,1071525379.0,4660897610.381097,104877612.0,139572643.0,10396513667.75,20803907662.0
3,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1295,3842479472.05251,1055652666.0,4623811209.454804,104343590.0,124528892.5,10350442500.0,10388416306.0
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1296,3863030916.3703704,1069988289.5,4641216925.317773,104768322.0,139077954.5,10396885896.25,10440344176.0
4,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,3865835594.4050927,1074938053.5,4643916625.052437,104996938.0,139766592.75,10401731553.5,10446080526.0
4,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,3841445023.134259,1057560391.5,4624100197.507935,104388389.0,124008548.75,10353701941.75,10374978533.0
4,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,3865061075.858796,1074200925.0,4644303147.776186,104889298.0,135821511.25,10402046275.75,10439405245.0
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1296,3345159403.251389,1043280980.7333333,4185419129.3320575,63100372.8,113954367.35,6246743306.8,20865416273.0
3,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1294,3313967161.4217415,1036079802.2,4134668989.2810206,62721307.8,111185020.95,6208211616.85,10355247316.0
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1295,3340992316.970579,1041935197.8,4165811908.3857903,63015116.4,113989433.0,6246441351.8,10424855738.0
4,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,432,3850584671.461111,1071218211.0,4622549378.305983,105057537.6,144549550.7,10413203160.900002,10428598540.8
4,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,432,3824553363.2287045,1061357103.1,4596793439.117311,104477915.4,132832830.2,10347660417.199999,10359020931.4
4,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,432,3854457218.5541663,1071752337.8,4627894500.064766,105006019.8,140387920.35,10412931592.45,10419508534.2
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1296,2414783332.9102364,725793645.6666667,3074352279.176105,42488890.4,93682905.4,4192042013.3,16778933534.6
3,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1294,2386912580.141963,715911413.3333334,3028552876.7912393,42081991.0,91233146.89999999,4157126328.3999996,8313197848.6
3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1295,2411524442.563938,725701260.3333334,3056575931.000042,42380876.4,93733656.19999999,4191227183.8,8372580494.8
4,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,432,3093484766.1912036,867285532.4,3708012561.845016,84553284.0,125149537.7,8366011777.45,8382595370.4
4,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,432,3069283493.0967593,859428218.0,3683176770.2127013,83925383.0,114619116.95,8303458848.0,8316650711.2
4,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,432,3097411125.1472225,867201165.4,3713107137.6532373,84507118.0,120951647.65,8365712777.299999,8371539266.0
3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1296,14165122974.185957,3264148810.0,18023035156.814415,314611641.0,535639846.5,31223216614.5,104327081365.0
3,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1294,14033839519.459042,3212148273.0,17785567362.277924,313046022.0,531607971.5,31035438159.0,51776236580.0
3,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1295,14134996178.859459,3262362289.0,17894877481.238647,314480664.0,538061362.5,31222246464.5,52098200085.0
4,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,432,19252923357.305557,5356091055.0,23112746891.52992,525287688.0,722747753.5,52066015804.5,52142992704.0
4,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,432,19122766816.14352,5306785515.5,22983967195.58655,522389577.0,664164151.0,51738302086.0,51795104657.0
4,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,432,19272286092.770832,5358761689.0,23139472500.32383,525030099.0,701939601.75,52064657962.25,52097542671.0
3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1296,10359157491.61034,2230458784.0,13738597593.725061,211416566.0,432761651.25,20943657974.5,83894667673.0
3,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1294,10242189175.218702,2194446538.0,13526949576.725023,209739340.0,424453094.25,20778355918.0,41565989243.0
3,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1295,10336599180.43861,2228313002.0,13631173291.537548,211299260.0,435522232.0,20941004026.5,41862902474.0
4,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,432,15467423830.956018,4336427662.0,18540062809.225082,422766420.0,625747688.5,41830058887.25,41912976852.0
4,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,432,15346417465.483797,4297141090.0,18415883851.063507,419626915.0,573095584.75,41517294240.0,41583253556.0
4,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,432,15487055625.73611,4336005827.0,18565535688.26619,422535590.0,604758238.25,41828563886.5,41857696330.0
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1296,192.7962962962963,0.0,6847.133678615146,0.0,0.0,0.0,246584.0
3,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1295,120.84092664092664,0.0,2963.4919522005516,0.0,0.0,0.0,102536.0
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1296,78.25925925925925,0.0,1967.1732510003542,0.0,0.0,0.0,69560.0
4,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,432,8.75925925925926,0.0,92.16017360797073,0.0,0.0,0.0,1288.0
4,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,432,62.25925925925926,0.0,1064.7222239937128,0.0,0.0,0.0,22040.0
4,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,432,269.44444444444446,0.0,5330.571811682697,0.0,0.0,0.0,110904.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1296,48169.833333333336,46296.0,30210.559057468876,6152.0,34340.0,58482.0,645224.0
