producer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
6,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,4829.8833680555545,4791.285,637.1396265336352,3533.95,4544.749999999999,5115.99,7572.76
6,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,8764.63621527778,8789.9,853.3055745360433,6941.22,8133.287499999999,9358.6325,13345.8
12,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,18914.551684027778,18842.29,1455.811055056755,15318.35,18115.0475,19735.260000000002,32155.5
12,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,9740.246597222222,9714.175,1292.9853878716233,7118.95,9244.357500000002,10174.512499999999,15122.85
12,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,17872.303819444445,17833.335,1725.4901635483404,13994.04,16570.9225,19075.507500000003,23625.090000000004
1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,49.942628031195035,57.62215584415584,22.75555621201602,12.01436507936508,24.814565090824406,69.3087844036697,81.86419354838708
1,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,575,54.382501560156996,58.03911111111112,18.46715850523634,16.004727272727273,36.83713909030982,71.2547077922078,82.81158878504674
1,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,52.7947324103123,60.136875,21.91715664000844,7.1586453786134125,28.37390909090909,71.36895091693636,82.79416666666667
6,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,84.41237503551764,85.28800520347934,9.875768404993766,54.04810606060607,78.28342463958062,94.48362165541386,96.90291390728476
6,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,84.417836367428,83.67431349206349,9.286015798109581,1.892249735769289,77.72017560840708,94.42841356011182,96.33217105263158
6,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,86.37593723680975,87.2226103988604,8.178036389390448,61.22097345132744,81.4655930587338,94.41966492317752,96.68337931034483
12,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,92.92585016904734,94.30491294677098,6.068208467228432,4.120404290873807,91.06366134751772,95.72006850789096,97.394043715847
12,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,92.04786152559895,94.12962217514125,5.493753915334774,19.694819504819502,89.3754458041958,95.56399520700194,97.02861111111112
12,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,93.04112073671642,94.51186458333333,5.823863753360872,1.408793975693435,91.73535833333334,95.54371030070791,97.2155
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,25.773574459585333,21.922511867827758,17.814213676026657,4.4076908602150535,8.658910890850537,43.87329453646922,58.35175110594206
1,plaintext,broker_cpu_percent_mean,Broker CPU mean %,576,30.35825369671339,28.20991246387714,12.202085260309193,8.56043141109655,20.432853118271012,39.2704742369284,56.61478827598951
1,tls,broker_cpu_percent_mean,Broker CPU mean %,576,28.480199427532902,23.774992626186382,17.675771259003426,4.993193979933111,12.59564292195736,45.01431392964722,59.82172628523237
6,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,22.475377425941016,20.28127064604265,12.04432390654298,3.376199505173189,12.472237695535046,33.32509078190318,48.56118760278864
6,plaintext,broker_cpu_percent_mean,Broker CPU mean %,575,29.123309015459572,28.85689022737387,8.361623196937165,11.399957431457432,22.31327291483867,35.07267613296521,48.24112249422144
6,tls,broker_cpu_percent_mean,Broker CPU mean %,576,24.925159253424773,22.352683718485835,11.744166622864565,3.345553606237816,15.554873364561205,34.18684127758014,47.41400417619578
12,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,18.789603298874592,16.890402614936193,10.046864502262448,3.2207672442534174,10.367219087808746,27.34927769940056,38.7491954745468
12,plaintext,broker_cpu_percent_mean,Broker CPU mean %,575,26.632693189752025,26.14684183856257,7.684398722757743,8.895138334687491,20.353120308785243,32.931728782314465,43.05438843854
12,tls,broker_cpu_percent_mean,Broker CPU mean %,575,21.46020676290276,19.468000028779155,10.006468981358559,3.2852559333624813,13.570008878803646,28.662168292689685,41.46051326988864
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,53.30087731481481,54.739999999999995,25.923898636505516,10.088,27.35666666666667,76.7055,97.168
1,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,576,54.927846064814815,53.80533333333334,19.22885621422456,18.358,39.568,69.4945,95.458
1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,55.45624189814815,54.085,24.711494979175928,11.28,31.486,78.14750000000001,97.842
6,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,51.2703136574074,48.260999999999996,19.597085487504287,14.783333333333331,33.344500000000004,70.398,87.53000000000002
6,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,575,54.68569043478261,53.913333333333334,14.428494959212971,22.068,42.56866666666667,65.70500000000001,85.694
6,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,52.968482638888894,51.117,18.41991411143846,13.266666666666666,37.095,70.4295,86.92999999999999
12,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,46.7171550925926,42.861000000000004,17.46033280097202,18.406,31.152500000000003,63.01716666666667,82.56
12,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,575,50.951693913043485,48.702,12.682122656230044,19.868,41.837999999999994,60.74666666666667,84.46000000000001
12,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,575,48.86083188405797,46.653333333333336,16.624977701018725,20.993333333333336,33.882,63.67333333333333,84.78333333333335
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,10.085350574853196,10.007094696969697,1.443613566256531,7.583043478260869,8.954027459954233,11.047034722222222,15.285154639175255
