throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.03252962611272,23.32236111669118,1.258559918643095,12.408526294990724,22.979936195849643,23.578424681944796,24.268370821679916
1000,plaintext,broker_memory_used_percent_mean,Broker memory %,863,23.297512299955493,23.34393403949871,0.9011928754882383,12.832862211760968,23.04736405950095,23.86401774603748,24.148494847407584
1000,tls,broker_memory_used_percent_mean,Broker memory %,863,23.1261748713749,23.562549205041776,1.3447847014862921,12.689896058735837,23.115042184692836,23.851122171661714,24.349970032505254
10000,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.399267838671083,23.50573547915772,0.46687591996672734,22.27150838069976,23.093574923320993,23.740798537643556,24.93820518145855
10000,plaintext,broker_memory_used_percent_mean,Broker memory %,863,23.522555487667955,23.483090889510994,0.4020862958600236,22.91751965811966,23.151103984745045,23.9250392980547,24.83018833071431
10000,tls,broker_memory_used_percent_mean,Broker memory %,864,23.496420674876795,23.702441409817606,0.7587407562400482,21.131763398322107,23.334646462881743,23.89385776151483,25.11084886931466
1000,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,26099774.238425925,25075191.0,12138591.603232797,4922655.0,20029097.75,38362970.25,43315982.0
1000,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,21250265.997682504,23682127.0,9939771.378211018,3480473.0,15342724.0,30708865.0,37888000.0
1000,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,25634320.03125,25807727.5,12180454.820150878,4749934.0,18773393.0,37998611.0,59602216.0
10000,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,18607691.19560185,16996643.0,16977574.572512664,645808.0,2244575.25,37726787.25,85183486.0
10000,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,14829149.8125,8881925.0,13693927.375713242,325067.0,1720348.25,30300549.5,34729906.0
10000,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,18342579.577546295,11351568.5,16776954.316412011,589965.0,2130158.25,37506869.0,42718538.0
1000,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3870204516.8819447,1077644606.5,4636889748.942707,111903543.0,143486134.75,10396632776.75,10446080526.0
