acks,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2574538457.4444447,791156626.6,3252617030.412069,42490713.8,103532284.9,4453908877.966667,16778933534.6
1,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2537963079.5780096,781908470.9,3195590348.792514,42093970.6,96217167.94999999,4200327702.766667,8314912632.0
1,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2572300121.270452,836535455.4,3231293827.904789,42395551.0,108053047.16666666,4671479142.3,8372580494.8
all,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2594378925.0165124,791651423.7,3262692979.55484,42488890.4,102485597.0,4886166196.466667,8428300047.0
all,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,862,2577488685.5755215,831012509.4,3241318909.353833,42081991.0,93116070.78333333,6223694188.8,8316650711.2
all,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2593878188.1105323,791640568.1666667,3262472551.7836924,42380876.4,104931811.35,4885794975.366667,8371471508.0
1,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15402554805.417824,4242824070.5,19552080122.894028,314641645.0,561651209.25,31224419773.5,104327081365.0
1,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15225490710.52662,4201633915.5,19251829116.59414,313046022.0,552132583.0,31036148888.5,51784886009.0
1,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15382218127.86095,5204651532.0,19403835905.886223,314484380.0,568097707.0,31222832237.0,52088614074.0
all,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15471591334.51389,4244131173.5,19538811400.781265,314611641.0,561121531.0,31229410021.75,52353745380.0
all,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,862,15389790752.736658,4204060450.0,19437711452.53507,313059479.0,540322195.5,31038307335.75,51795104657.0
all,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15457862730.73611,4243930795.5,19532178148.54217,314480664.0,560563579.0,31228290356.25,52098200085.0
1,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11597757845.113426,3214348109.5,15240092173.587408,211416566.0,459763929.25,20951618291.5,83894667673.0
1,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11441860869.758102,3182527102.5,14980187403.778778,209739340.0,452378542.75,20781195952.75,41574563160.0
1,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11585683920.723059,4182677277.0,15121069898.424587,211299260.0,466860201.0,20948149177.5,41862902474.0
all,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11674690307.780092,3215662973.5,15248363382.991499,211429999.0,459545525.0,20944212469.0,42141500235.0
all,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,862,11597769543.330626,3184865933.5,15149112748.505463,209777031.0,438657161.5,20775962663.25,41583253556.0
all,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11664188362.733797,3215114681.0,15244619133.33241,211327407.0,459004872.5,20940515424.75,41857357540.0
1,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,5.018518518518518,0.0,86.3764351310782,0.0,0.0,0.0,2120.0
1,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,28.87962962962963,0.0,750.7456813752353,0.0,0.0,0.0,22040.0
1,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,113.60185185185185,0.0,2401.854011660555,0.0,0.0,0.0,69560.0
all,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,288.55555555555554,0.0,8384.160647639816,0.0,0.0,0.0,246584.0
all,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,863,183.5840092699884,0.0,3629.19149541349,0.0,0.0,0.0,102536.0
all,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,138.50925925925927,0.0,3775.797644440989,0.0,0.0,0.0,110904.0
1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,48672.84259259259,48784.0,27067.443209188234,6168.0,35094.0,59252.0,546512.0
1,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,43205.21296296296,42640.0,18482.566432617747,6176.0,32366.0,53096.0,403352.0
1,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,45985.03703703704,41416.0,78340.16666340761,6208.0,30566.0,53358.0,2127912.0
all,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,50033.38888888889,47088.0,43302.169041522815,6152.0,35440.0,58604.0,887600.0
all,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,45319.60139049826,44024.0,28969.77682878673,6296.0,32524.0,54068.0,462888.0
all,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,42971.24074074074,40964.0,33056.45446719965,6264.0,30748.0,52702.0,709376.0
1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,8288.10763888889,0.0,29716.548515070564,0.0,0.0,8889.599999999999,310771.2
1,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,9588.163580246912,0.0,30209.054661540486,0.0,0.0,12799.6,394941.3333333333
1,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,9495.761452298184,0.0,39597.680320155814,0.0,0.0,8077.333333333334,449915.2
all,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,4732.075540123456,0.0,9836.493886186376,0.0,0.0,8046.0,149993.6
all,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,862,6625.4694508894045,0.0,13953.580798257884,0.0,0.0,12669.6,169120.0
