record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
102400,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,24.98629537534329,25.60949324324324,11.986840750206849,7.758363430542827,12.1024811517849,32.73187096774193,49.64408602150537
102400,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,21.550598200234546,21.820058503587916,8.55412108408154,10.441734693877551,12.041428240954938,27.40679847222222,39.27390804597701
102400,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,25.914053307926473,26.063053691275165,12.031310826099205,10.736774193548388,12.660350274725275,33.24847750396882,50.044405940594054
1024,mtls,broker_memory_used_percent_mean,Broker memory %,576,22.726571657586753,23.08152601310625,1.4466100280612777,12.408526294990724,22.53184829316116,23.395095066497717,24.009879041406695
1024,plaintext,broker_memory_used_percent_mean,Broker memory %,576,23.323154846766542,23.65294967590817,1.1048862159360702,12.832862211760968,23.053332248392845,23.980409065103707,24.148494847407584
1024,tls,broker_memory_used_percent_mean,Broker memory %,576,22.705878504025762,23.379404441640773,1.6290750066632385,12.689896058735837,21.32245722740175,23.792357248292813,24.040808559442084
10240,mtls,broker_memory_used_percent_mean,Broker memory %,576,23.277563204141305,23.247794219706122,0.5039038507712073,22.276057220166887,22.965641983760577,23.69233437753097,24.93820518145855
10240,plaintext,broker_memory_used_percent_mean,Broker memory %,574,23.585132816760037,23.71513238670422,0.41923091455226535,22.870488724517585,23.216708681170296,23.940691480840783,24.83018833071431
10240,tls,broker_memory_used_percent_mean,Broker memory %,575,23.593668438464633,23.697622765622764,0.6348811177037911,21.05693953523398,23.262442409367814,23.96206898450258,25.11084886931466
102400,mtls,broker_memory_used_percent_mean,Broker memory %,576,23.643561335447643,23.632386624525914,0.17622008463000566,23.205507293431214,23.50847049745501,23.77715839707002,24.35001970105579
102400,plaintext,broker_memory_used_percent_mean,Broker memory %,576,23.322422000279943,23.41053684865668,0.23513154756544666,22.726114334958183,23.07913443451825,23.526989833767214,23.76892949839475
102400,tls,broker_memory_used_percent_mean,Broker memory %,576,23.635157997663345,23.707793765403295,0.26180167231853274,23.012663634926795,23.38937912729502,23.86776451565526,24.19804158173569
1024,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,9039630.979166666,3843895.0,9436832.813065467,645808.0,1591834.5,20821318.5,25129356.0
1024,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,6452902.828125,2666712.5,6847613.357161051,325067.0,1007298.5,15005336.5,21456358.0
1024,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,8743076.765625,3648365.0,9299443.143863907,589965.0,1462475.25,19936629.25,59602216.0
10240,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,18553831.413194444,20915874.5,10394116.9123512,3077864.0,5602534.5,27898249.5,32577748.0
