compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
none,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,2.6296296296296298,0.0,42.451408516655974,0.0,0.0,0.0,904.0
none,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,863,37.31286210892237,0.0,843.2129866288244,0.0,0.0,0.0,24609.0
none,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,219.15740740740742,0.0,4449.811068944048,0.0,0.0,0.0,110904.0
lz4,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,50367.11111111111,48952.0,36492.87453872009,6168.0,35910.0,59948.0,887600.0
lz4,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,45403.101851851854,44360.0,24840.77944609682,6416.0,33118.0,55174.0,433280.0
lz4,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,42957.67592592593,41416.0,15362.570936658516,6568.0,31214.0,54194.0,210456.0
none,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,48339.12037037037,47000.0,35705.23215684782,6152.0,34508.0,57670.0,645224.0
none,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,43119.165701042875,42368.0,23729.657420752257,6176.0,31888.0,52600.0,462888.0
none,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,45998.601851851854,40836.0,83629.06299739917,6208.0,30140.0,51570.0,2127912.0
lz4,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,5419.04899691358,0.0,13820.797325431697,0.0,0.0,9966.8,278065.6
lz4,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,6998.880185399769,0.0,15234.860189958537,0.0,0.0,12900.8,169120.0
lz4,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,5209.552469135802,0.0,11585.452591696565,0.0,0.0,8499.2,145017.6
none,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,7601.134182098765,0.0,28155.947207950354,0.0,0.0,8039.333333333333,310771.2
none,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,9218.185863267672,0.0,29630.160256819156,0.0,0.0,12631.2,394941.3333333333
none,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,9271.469138663577,0.0,39555.317934285056,0.0,0.0,5502.4,449915.2
lz4,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6509857.972839506,1740872.0,8255078.101178434,15073.6,257955.99999999997,13803681.6,41124512.0
lz4,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6443550.019312476,1723713.6,8145343.2567161145,16656.0,265788.0,15086549.866666667,20369357.333333332
lz4,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6438360.085802469,1713980.8,8143733.682287516,20588.8,258570.00000000003,13749500.8,20574584.0
none,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6417602.759259259,1710153.6,8098757.5067781815,19704.0,256063.6,13094371.733333332,21605782.4
none,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6399199.309694863,1708120.0,8091636.98263335,18537.6,263211.19999999995,13418435.2,20611715.2
none,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6406384.549401313,1733061.3333333333,8068756.81092691,17988.8,257602.40000000002,13934968.266666666,20262005.333333332
lz4,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,24177.640046296296,0.0,65978.62118376986,0.0,0.0,44064.0,1390328.0
lz4,plaintext,broker_disk_read_sectors_delta_total,Broker disk read sectors total,863,31228.857473928158,0.0,72234.93379413261,0.0,0.0,63544.0,845600.0
