batch_size,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
16384,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,862,8055.291569992267,0.0,23919.26724992882,0.0,0.0,12660.8,394941.3333333333
16384,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,7341.556431054461,0.0,28017.9951749445,0.0,0.0,8309.599999999999,374310.4
131072,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,5939.6512345679,0.0,18660.49022879019,0.0,0.0,8773.2,307140.8
131072,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,8161.6512345679,0.0,23246.715382311148,0.0,0.0,12745.6,287550.4
131072,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,7137.231481481482,0.0,30350.60867801102,0.0,0.0,7830.0,449915.2
16384,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6450754.404320987,1700576.0,8141970.664415485,15073.6,257185.2,13212532.399999999,21605782.4
16384,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,862,6428924.529621036,1645200.5333333332,8122398.471450214,26326.4,262548.8,13907935.2,20373170.666666668
16384,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6427687.164465045,1643217.6,8116176.29733013,17988.8,256728.8,14183953.6,20262005.333333332
131072,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6476706.327777778,1751362.4,8212698.708159222,19704.0,257234.8,12992417.333333334,41124512.0
131072,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6413842.275925926,1745273.0666666667,8114731.228597861,16656.0,266393.6,13069388.133333333,20611715.2
131072,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6417082.126543211,1751422.9333333333,8096558.533204091,18505.6,259178.4,12933435.333333334,20574584.0
16384,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,31481.011574074073,0.0,113182.38024295351,0.0,0.0,38514.0,1553856.0
16384,plaintext,broker_disk_read_sectors_delta_total,Broker disk read sectors total,862,36137.8283062645,0.0,105631.42774620335,0.0,0.0,62852.0,1284864.0
